step,mean_reward,success_rate,total_episodes,fps
1001,9.376683935765547,0.0,553,288.34018812874257
2001,9.315858209272637,0.0,1111,292.4904003449276
3001,9.30778122098236,0.0,1669,294.2679765330693
4001,9.312624614069358,0.0,2224,288.43896728320146
5001,9.309210135884442,0.0,2781,284.1936455196341
6001,9.307369979298826,0.0,3337,281.44639304401886
7001,9.315272329551881,0.0,3889,279.39599211959285
8001,9.313389228857893,0.0,4448,277.47168209971943
9001,9.314924165475473,0.0,5004,276.96183536644634
10001,9.313975907294013,0.0,5560,276.441824318934
11001,9.305618691709263,0.0,6121,275.7689294827726
12001,9.298614651972718,0.0,6682,276.818524013879
13001,9.301758102045936,0.0,7235,277.44788830972936
